customer_id,is_pass,is_loan,is_overdue,age,live_state,cont_list_no,ap_pd24h,ap_pd30d,ap_long3d,ap_long90d,ap_al,ap_dd_1lo,ap_dd_lalo,ap_dd_1lo_1ap,cd_score,cd_open_acct,cd_ovdu_acct,cd_ovdu_amt,cd_tot_bal,cd_enq_tot60d,cd_enq_org30d,gender_v_Male,education_v_12th,education_v_Below 10th,education_v_Doctorate/PhD,education_v_Graduation/Diploma,education_v_Masters/Post-Graduation,"mon_salary_v_100,000-200,000","mon_salary_v_15,000-20,000","mon_salary_v_20,000-30,000","mon_salary_v_200,000-500,000","mon_salary_v_30,000-50,000","mon_salary_v_50,000-100,000","mon_salary_v_<10,000","mon_salary_v_>=500,000",marriage_v_Single,marriage_v_Widowed,residence_type_v_Other,residence_type_v_PG,residence_type_v_Rent,employ_stat_v_Self-employed,employ_stat_v_Student,employ_stat_v_Unemployed,occupation_v_Clerical support workers,occupation_v_Craft and related trades workers,occupation_v_Elementary occupations,occupation_v_Managers,"occupation_v_Plant and machine operators, and assemblers",occupation_v_Professional,"occupation_v_Skilled agricultural, forestry and fishery workers",occupation_v_Technicians and associate prefessionals,cont1_rel_v_Friend,cont1_rel_v_Mother,cont1_rel_v_Sibling,cont1_rel_v_Spouse,cont2_rel_v_Mother,cont2_rel_v_Spouse
L1022001037901347566255669248,0,0,0,25,10340000,48,0.0,1.0,0.0,2.0,282.0,126.0,3.0,3914.0,1.0,1.0,1.0,1321.0,1649.0,2.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
L1022001267909697574337183744,0,0,0,33,10200000,128,0.0,10.0,1.0,6.0,319.0,21.0,0.0,4024.0,5.0,2.0,0.0,0.0,15629.0,2.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001077902757087923470336,0,0,0,39,10100000,272,1.0,2.0,0.0,5.0,288.0,116.0,0.0,3920.0,515.0,7.0,1.0,2193.0,130641.0,2.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L1022001297910871249019142144,0,0,0,29,10280000,240,0.0,0.0,0.0,3.0,320.0,161.0,30.0,3885.0,646.0,4.0,0.0,0.0,322080.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001187906793352542093312,0,0,0,31,10150000,351,2.0,2.0,0.0,2.0,319.0,706.0,0.0,17575.0,483.0,16.0,3.0,19407.0,1460667.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
L1022001147905311923793625088,1,1,0,23,10300000,56,0.0,1.0,1.0,2.0,301.0,63.0,0.0,686.0,5.0,2.0,0.0,0.0,24121.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
L1022001297910759698094292992,0,0,0,46,10200000,442,0.0,1.0,0.0,2.0,324.0,100.0,5.0,3936.0,755.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001277910082785285701632,0,0,0,40,10310000,387,0.0,5.0,4.0,8.0,429.0,67.0,0.0,3969.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
L1022001127904625087458902016,1,1,0,37,10300000,279,0.0,0.0,0.0,4.0,352.0,103.0,4.0,18187.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
L1022001267909785549330907136,1,1,0,38,10190000,375,0.0,1.0,1.0,6.0,285.0,43.0,0.0,340.0,733.0,6.0,0.0,0.0,298482.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
